Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200702,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,64.6,63.1,65.9,,,3910,"(38.8012387817, -77.0668298261)",PREVENT,BPMED,5101000,51510200702,Taking BP Medication
2017,VA,Virginia,Alexandria,City,BRFSS,Health Outcomes,5101000,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.8,8.8,8.9,,,139966,"(38.8187351557, -77.0867762661)",HLTHOUT,CASTHMA,5101000,,Current Asthma
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510201300,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,5.7,5.4,6.2,,,3105,"(38.8235664971, -77.0544032467)",HLTHOUT,DIABETES,5101000,51510201300,Diabetes
2016,VA,Virginia,Alexandria,City,BRFSS,Prevention,5101000,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,86.7,86.3,87.0,,,139966,"(38.8187351557, -77.0867762661)",PREVENT,PAPTEST,5101000,,Pap Smear Test
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510200801,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,27.8,26.9,28.8,,,2553,"(38.8165993378, -77.0808788508)",UNHBEH,SLEEP,5101000,51510200801,Sleep <7 hours
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200301,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.4,2.9,4.0,,,3103,"(38.8261060603, -77.1164492983)",HLTHOUT,COPD,5101000,51510200301,COPD
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200600,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,81.5,80.2,82.6,,,4490,"(38.8076623401, -77.100919619)",PREVENT,CHOLSCREEN,5101000,51510200600,Cholesterol Screening
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200404,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.9,6.2,7.9,,,3468,"(38.8080757531, -77.1194059499)",HLTHOUT,PHLTH,5101000,51510200404,Physical Health
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200702,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.9,2.4,3.4,,,3910,"(38.8012387817, -77.0668298261)",HLTHOUT,COPD,5101000,51510200702,COPD
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200103,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,82.1,80.0,84.1,,,7151,"(38.8225377932, -77.1357399715)",PREVENT,MAMMOUSE,5101000,51510200103,Mammography
